Customers,Cashiers,Average Wait,Throughput,Average Queue,Utilization
10,5,0.91,0.0208,0.4,0.022
18,5,0.97,0.0375,1.17,0.028
27,5,1.98,0.0563,2.59,0.037
35,5,1.77,0.0729,1.06,0.06
48,5,13.44,0.1,10.48,0.103
56,5,5.99,0.1167,5.45,0.106
66,5,5.05,0.1375,6.35,0.101
10,8,0.0,0.0208,0,0.008
18,8,0.29,0.0375,0.22,0.021
27,8,0.25,0.0563,0.22,0.026
35,8,0.19,0.0729,0.17,0.033
48,8,0.22,0.1,0.15,0.045
56,8,0.19,0.1167,0.12,0.058
66,8,0.39,0.1375,0.29,0.072
10,2,3.62,0.0208,1.6,0.029
18,2,10.97,0.0375,4.78,0.08
27,2,11.95,0.0563,7.78,0.077
35,2,17.13,0.0729,10.14,0.122
48,2,23.31,0.1,14.1,0.166
56,2,35.69,0.1167,16.64,0.242
66,2,41.84,0.1375,20.05,0.266
10,4,2.11,0.0208,1.4,0.019
18,4,4.21,0.0375,3.89,0.04
27,4,4.85,0.0563,5.7,0.042
35,4,7.71,0.0729,7.74,0.07
48,4,9.21,0.1,10.35,0.091
56,4,11.09,0.1167,12,0.115
66,4,12.2,0.1375,13.15,0.127
10,10,0.0,0.0208,0,0.006
18,10,0.0,0.0375,0,0.015
27,10,0.31,0.0563,0.56,0.023
35,10,0.51,0.0729,1.09,0.03
48,10,0.46,0.1,0.94,0.043
56,10,0.39,0.1167,0.82,0.05
66,10,0.34,0.1375,0.7,0.058
